order_id,customer_id,order_date,channel,store_id,promo_id,status
O000001,C00533,2024-09-23,Online,,,Delivered
O000002,C01468,2024-09-16,In-Store,S002,,Delivered
O000003,C02189,2024-01-05,In-Store,S003,,Delivered
O000004,C04402,2024-03-24,Online,,,Delivered
O000005,C02504,2023-11-26,In-Store,S003,PR004,Delivered
O000006,C03360,2024-09-28,Online,,,Delivered
O000007,C04316,2024-11-04,In-Store,S012,,Delivered
O000008,C04605,2022-12-28,In-Store,S003,,Delivered
O000009,C00178,2024-12-28,Online,,,Shipped
O000010,C03457,2023-08-04,Online,,,Delivered
O000011,C03293,2024-04-20,Click & Collect,S007,,Delivered
O000012,C00873,2024-09-12,Click & Collect,S001,,Delivered
O000013,C01761,2023-07-17,Click & Collect,S008,,Delivered
O000014,C02775,2022-12-25,In-Store,S001,,Delivered
O000015,C03015,2024-06-09,Online,,,Returned
O000016,C00273,2023-07-07,Click & Collect,S011,PR003,Delivered
O000017,C03084,2023-10-02,In-Store,S011,,Delivered
O000018,C03157,2024-11-16,In-Store,S001,,Delivered
O000019,C04925,2023-12-25,Click & Collect,S011,,Delivered
O000020,C03081,2024-09-27,Online,,,Delivered
O000021,C01767,2024-08-20,Online,,,Delivered
O000022,C02004,2023-10-08,Online,,,Cancelled
O000023,C03455,2023-09-23,Click & Collect,S001,,Delivered
O000024,C03777,2024-08-03,Online,,,Delivered
O000025,C03642,2023-09-27,Online,,,Delivered
O000026,C02739,2023-11-13,Click & Collect,S008,,Delivered
O000027,C01232,2023-10-08,In-Store,S008,,Delivered
O000028,C02598,2024-09-13,In-Store,S004,,Delivered
O000029,C03351,2023-12-05,In-Store,S003,,Delivered
O000030,C02733,2024-08-14,In-Store,S006,,Cancelled
O000031,C03453,2024-01-26,In-Store,S010,,Delivered
O000032,C04116,2024-02-18,In-Store,S005,,Delivered
O000033,C04184,2024-12-30,In-Store,S008,,Shipped
O000034,C03141,2023-11-29,In-Store,S001,,Delivered
O000035,C01524,2024-12-26,Online,,,Delivered
O000036,C01432,2023-08-11,Online,,,Delivered
O000037,C02076,2024-09-27,In-Store,S003,,Delivered
O000038,C01364,2023-04-24,In-Store,S004,,Delivered
O000039,C03003,2022-06-14,Online,,,Delivered
O000040,C02608,2022-08-12,Click & Collect,S009,,Delivered
O000041,C02686,2024-05-29,Click & Collect,S001,,Delivered
O000042,C01400,2024-10-31,Online,,,Delivered
O000043,C00796,2024-01-17,In-Store,S010,,Delivered
O000044,C00833,2022-12-22,Online,,,Delivered
O000045,C02044,2022-06-21,In-Store,S006,,Delivered
O000046,C00320,2024-11-17,Online,,,Delivered
O000047,C03337,2024-01-05,Online,,,Delivered
O000048,C02503,2023-10-29,Online,,,Delivered
O000049,C04899,2023-07-01,Online,,PR003,Delivered
O000050,C00844,2024-11-10,Online,,,Delivered
O000051,C01085,2024-11-14,Online,,,Delivered
O000052,C01245,2022-06-21,In-Store,S011,,Delivered
O000053,C04659,2023-02-17,In-Store,S011,,Returned
O000054,C02742,2024-04-30,Click & Collect,S006,,Delivered
O000055,C04228,2024-03-29,In-Store,S005,,Delivered
O000056,C03909,2023-06-24,Click & Collect,S012,,Cancelled
O000057,C01674,2023-08-31,In-Store,S011,,Delivered
O000058,C04167,2023-12-04,Click & Collect,S006,,Delivered
O000059,C00723,2024-07-27,Click & Collect,S009,,Delivered
O000060,C00602,2024-12-25,Online,,,Delivered
O000061,C03350,2023-09-03,Online,,,Delivered
O000062,C04183,2024-11-24,In-Store,S012,,Delivered
O000063,C04382,2024-08-22,Click & Collect,S009,,Returned
O000064,C03973,2024-10-06,In-Store,S001,,Delivered
O000065,C02300,2024-08-25,In-Store,S006,,Delivered
O000066,C04003,2023-11-13,In-Store,S005,,Delivered
O000067,C04039,2024-05-19,Online,,,Delivered
O000068,C03571,2024-10-14,In-Store,S008,,Delivered
O000069,C01693,2024-02-06,Click & Collect,S001,,Delivered
O000070,C04716,2024-08-13,Online,,,Returned
O000071,C02502,2024-12-18,Online,,,Delivered
O000072,C02458,2023-10-26,Click & Collect,S006,,Delivered
O000073,C02233,2024-09-30,Online,,,Delivered
O000074,C00394,2024-11-26,Online,,,Returned
O000075,C02860,2024-04-17,In-Store,S011,,Delivered
O000076,C01782,2024-01-22,Online,,,Delivered
O000077,C03165,2024-06-11,Online,,,Delivered
O000078,C03937,2024-10-02,In-Store,S010,,Delivered
O000079,C02514,2024-08-27,Online,,,Delivered
O000080,C04673,2024-09-01,In-Store,S006,,Delivered
O000081,C02158,2024-06-29,Online,,PR006,Cancelled
O000082,C03364,2024-11-18,Online,,,Delivered
O000083,C00923,2023-12-10,In-Store,S008,,Delivered
O000084,C02729,2024-07-30,Click & Collect,S005,,Delivered
O000085,C04100,2023-12-27,Online,,,Delivered
O000086,C03065,2024-05-25,In-Store,S003,,Delivered
O000087,C02864,2024-03-25,In-Store,S012,,Delivered
O000088,C02151,2024-09-26,In-Store,S007,,Delivered
O000089,C02474,2024-05-26,Online,,,Delivered
O000090,C04037,2024-10-20,Click & Collect,S012,,Delivered
O000091,C00342,2024-06-20,In-Store,S005,,Delivered
O000092,C02210,2024-11-17,In-Store,S012,,Delivered
O000093,C04503,2024-10-23,In-Store,S004,,Delivered
O000094,C01968,2023-08-13,In-Store,S012,,Delivered
O000095,C04411,2024-07-07,Online,,,Delivered
O000096,C02539,2023-03-21,Online,,PR002,Delivered
O000097,C04652,2024-06-19,Click & Collect,S002,,Cancelled
O000098,C00091,2024-03-02,In-Store,S012,,Delivered
O000099,C01257,2024-03-09,In-Store,S006,,Delivered
O000100,C04779,2023-07-04,Online,,PR003,Delivered
O000101,C01364,2023-11-08,Click & Collect,S002,,Returned
O000102,C02508,2023-11-26,In-Store,S008,PR004,Cancelled
O000103,C02598,2024-06-07,Online,,,Delivered
O000104,C00150,2024-11-24,Online,,,Delivered
O000105,C03514,2024-11-16,Online,,,Delivered
O000106,C01359,2022-12-21,Online,,,Delivered
O000107,C03629,2023-04-09,Click & Collect,S001,,Delivered
O000108,C04695,2023-03-11,In-Store,S008,,Delivered
O000109,C00769,2024-12-30,Online,,,Shipped
O000110,C03195,2024-11-24,Online,,,Delivered
O000111,C03282,2024-06-18,In-Store,S002,,Delivered
O000112,C01890,2024-12-08,In-Store,S005,,Delivered
O000113,C01011,2024-10-14,Click & Collect,S009,,Delivered
O000114,C03788,2024-10-22,Click & Collect,S004,,Delivered
O000115,C01408,2023-11-04,Online,,,Delivered
O000116,C01891,2024-10-28,Online,,,Delivered
O000117,C00692,2024-10-09,Click & Collect,S007,,Delivered
O000118,C00725,2023-08-11,Online,,,Delivered
O000119,C02777,2024-07-18,Click & Collect,S002,,Delivered
O000120,C04696,2024-07-26,Online,,,Returned
O000121,C01900,2024-06-14,In-Store,S009,,Delivered
O000122,C02660,2024-08-19,Click & Collect,S012,,Delivered
O000123,C01850,2023-01-06,In-Store,S012,,Delivered
O000124,C02476,2024-12-07,In-Store,S001,,Delivered
O000125,C03171,2022-02-10,Click & Collect,S003,,Delivered
O000126,C00420,2023-10-29,In-Store,S007,,Delivered
O000127,C03780,2024-02-07,In-Store,S003,,Delivered
O000128,C02858,2024-05-29,Click & Collect,S007,,Delivered
O000129,C03357,2024-06-20,In-Store,S008,,Returned
O000130,C01826,2023-08-14,Online,,,Delivered
O000131,C01066,2024-10-19,Online,,,Delivered
O000132,C01653,2022-12-31,In-Store,S004,,Delivered
O000133,C01883,2024-02-21,Online,,,Delivered
O000134,C00019,2024-10-30,In-Store,S004,,Delivered
O000135,C00741,2023-05-01,Online,,,Delivered
O000136,C02171,2023-11-08,Click & Collect,S006,,Delivered
O000137,C04263,2022-01-21,In-Store,S005,,Returned
