order_id,line_item,product_id,quantity,unit_price,discount_pct,final_unit_price
O000001,1,P0039,3,3.74,0,3.74
O000001,2,P0042,2,7.65,0,7.65
O000001,3,P0012,2,22.24,0,22.24
O000002,1,P0050,1,5.15,0,5.15
O000003,1,P0031,3,7.98,0,7.98
O000003,2,P0062,6,17.73,0,17.73
O000003,3,P0049,2,4.7,0,4.7
O000003,4,P0092,3,11.15,0,11.15
O000003,5,P0056,2,5.49,0,5.49
O000003,6,P0075,1,12.02,0,12.02
O000004,1,P0070,3,7.64,0,7.64
O000004,2,P0025,4,12.53,0,12.53
O000004,3,P0078,3,12.81,0,12.81
O000005,1,P0087,2,2.83,0.15,2.41
O000005,2,P0023,1,12.37,0.15,10.51
O000006,1,P0031,2,7.98,0,7.98
O000006,2,P0033,1,14.08,0,14.08
O000006,3,P0027,5,12.04,0,12.04
O000007,1,P0047,1,17.27,0,17.27
O000007,2,P0037,1,4.05,0,4.05
O000008,1,P0058,1,11.74,0,11.74
O000008,2,P0035,4,3.66,0,3.66
O000009,1,P0067,2,13.43,0,13.43
O000009,2,P0080,4,19.67,0,19.67
O000009,3,P0048,2,4.81,0,4.81
O000010,1,P0052,2,12.17,0,12.17
O000010,2,P0043,1,4.16,0,4.16
O000010,3,P0006,4,30.89,0,30.89
O000010,4,P0034,3,10.52,0,10.52
O000011,1,P0075,2,12.02,0,12.02
O000011,2,P0034,2,10.52,0,10.52
O000012,1,P0056,4,5.49,0,5.49
O000012,2,P0075,2,12.02,0,12.02
O000012,3,P0007,5,8.22,0,8.22
O000012,4,P0011,1,11.81,0,11.81
O000013,1,P0046,2,3.81,0,3.81
O000013,2,P0054,1,14.18,0,14.18
O000014,1,P0085,1,12.86,0,12.86
O000014,2,P0038,1,2.72,0,2.72
O000015,1,P0036,2,9.61,0,9.61
O000015,2,P0042,1,7.65,0.05,7.27
O000015,3,P0003,4,17.11,0,17.11
O000015,4,P0083,1,9.11,0.05,8.65
O000015,5,P0043,4,4.16,0,4.16
O000015,6,P0053,1,8.69,0,8.69
O000016,1,P0091,2,7.92,0.2,6.34
O000016,2,P0063,1,14.43,0.2,11.54
O000017,1,P0067,1,13.43,0,13.43
O000017,2,P0083,3,9.11,0,9.11
O000017,3,P0037,4,4.05,0,4.05
O000017,4,P0074,4,6.66,0,6.66
O000018,1,P0011,7,11.81,0,11.81
O000019,1,P0083,5,9.11,0,9.11
O000019,2,P0065,5,5.24,0,5.24
O000019,3,P0048,2,4.81,0,4.81
O000019,4,P0019,2,5.85,0,5.85
O000020,1,P0025,3,12.53,0,12.53
O000021,1,P0066,2,10.82,0,10.82
O000021,2,P0077,3,9.64,0,9.64
O000022,1,P0048,2,4.81,0,4.81
O000023,1,P0016,4,18.67,0,18.67
O000024,1,P0032,5,7.81,0,7.81
O000025,1,P0078,2,12.81,0,12.81
O000025,2,P0063,3,14.43,0,14.43
O000025,3,P0064,3,12.52,0,12.52
O000025,4,P0034,5,10.52,0,10.52
O000025,5,P0048,4,4.81,0,4.81
O000026,1,P0004,2,36.79,0,36.79
O000026,2,P0031,2,7.98,0,7.98
O000026,3,P0061,1,7.41,0,7.41
O000026,4,P0050,1,5.15,0,5.15
O000027,1,P0057,1,15.07,0,15.07
O000027,2,P0045,1,4.27,0,4.27
O000028,1,P0005,1,24.7,0,24.7
O000028,2,P0083,4,9.11,0,9.11
O000028,3,P0092,3,11.15,0,11.15
O000029,1,P0034,1,10.52,0,10.52
O000029,2,P0044,6,6.86,0,6.86
O000030,1,P0087,2,2.83,0,2.83
O000030,2,P0017,1,9.92,0,9.92
O000030,3,P0053,1,8.69,0,8.69
O000030,4,P0056,1,5.49,0,5.49
O000030,5,P0005,2,24.7,0,24.7
O000031,1,P0052,1,12.17,0,12.17
O000031,2,P0041,1,4.62,0,4.62
O000031,3,P0011,4,11.81,0,11.81
O000032,1,P0094,1,4.45,0,4.45
O000033,1,P0060,2,13.59,0,13.59
O000033,2,P0094,2,4.45,0,4.45
O000034,1,P0048,6,4.81,0.05,4.57
O000034,2,P0052,5,12.17,0,12.17
O000034,3,P0044,4,6.86,0,6.86
O000035,1,P0062,1,17.73,0,17.73
O000035,2,P0088,2,12.43,0,12.43
O000036,1,P0069,2,4.89,0,4.89
O000036,2,P0050,2,5.15,0,5.15
O000036,3,P0049,1,4.7,0,4.7
O000036,4,P0005,2,24.7,0,24.7
O000036,5,P0040,4,11.9,0,11.9
O000037,1,P0039,1,3.74,0,3.74
O000037,2,P0017,1,9.92,0,9.92
O000038,1,P0069,5,4.89,0,4.89
O000038,2,P0096,4,19.01,0,19.01
O000038,3,P0088,2,12.43,0,12.43
O000038,4,P0090,1,14.65,0,14.65
O000038,5,P0053,1,8.69,0,8.69
O000038,6,P0040,1,11.9,0,11.9
O000039,1,P0026,5,9.35,0,9.35
O000039,2,P0035,6,3.66,0,3.66
O000040,1,P0022,1,3.55,0,3.55
O000040,2,P0089,2,2.58,0,2.58
O000041,1,P0091,3,7.92,0,7.92
O000041,2,P0087,1,2.83,0,2.83
O000042,1,P0015,3,7.5,0,7.5
O000042,2,P0049,1,4.7,0,4.7
O000042,3,P0059,2,17.55,0,17.55
O000042,4,P0045,5,4.27,0,4.27
O000043,1,P0006,3,30.89,0,30.89
O000043,2,P0094,1,4.45,0,4.45
O000043,3,P0008,4,17.03,0,17.03
O000043,4,P0026,2,9.35,0,9.35
O000043,5,P0069,6,4.89,0,4.89
O000044,1,P0012,8,22.24,0.05,21.13
O000045,1,P0009,1,35.56,0,35.56
O000046,1,P0012,3,22.24,0,22.24
O000046,2,P0086,4,9.2,0,9.2
O000047,1,P0053,4,8.69,0,8.69
O000047,2,P0095,2,7.5,0,7.5
O000048,1,P0024,1,8.2,0,8.2
O000048,2,P0077,2,9.64,0,9.64
O000048,3,P0076,2,11.34,0,11.34
O000049,1,P0080,5,19.67,0.2,15.74
O000050,1,P0083,4,9.11,0,9.11
O000050,2,P0049,4,4.7,0,4.7
O000051,1,P0019,4,5.85,0,5.85
O000051,2,P0054,5,14.18,0,14.18
O000052,1,P0049,3,4.7,0.05,4.46
O000052,2,P0080,4,19.67,0,19.67
O000052,3,P0073,3,4.8,0.05,4.56
O000053,1,P0046,2,3.81,0,3.81
O000053,2,P0064,1,12.52,0,12.52
O000053,3,P0017,7,9.92,0,9.92
O000053,4,P0071,4,8.8,0,8.8
O000053,5,P0081,7,9.58,0.05,9.1
O000054,1,P0083,3,9.11,0,9.11
O000054,2,P0003,1,17.11,0,17.11
O000055,1,P0024,1,8.2,0,8.2
O000056,1,P0006,2,30.89,0,30.89
O000056,2,P0092,6,11.15,0,11.15
O000056,3,P0075,2,12.02,0,12.02
O000056,4,P0003,1,17.11,0,17.11
O000056,5,P0033,2,14.08,0,14.08
O000056,6,P0011,3,11.81,0,11.81
O000057,1,P0018,2,18.07,0,18.07
O000057,2,P0029,2,10.2,0,10.2
O000058,1,P0079,3,11.14,0,11.14
O000058,2,P0080,1,19.67,0,19.67
O000058,3,P0031,2,7.98,0,7.98
O000058,4,P0010,4,26.61,0,26.61
O000058,5,P0027,1,12.04,0,12.04
O000058,6,P0050,2,5.15,0,5.15
O000059,1,P0062,8,17.73,0,17.73
O000059,2,P0076,3,11.34,0.05,10.77
O000059,3,P0036,6,9.61,0,9.61
O000059,4,P0086,6,9.2,0,9.2
O000059,5,P0058,1,11.74,0,11.74
O000060,1,P0007,1,8.22,0,8.22
O000060,2,P0047,1,17.27,0,17.27
O000060,3,P0030,1,11.21,0,11.21
O000061,1,P0017,2,9.92,0,9.92
O000061,2,P0085,1,12.86,0,12.86
O000061,3,P0094,2,4.45,0,4.45
O000062,1,P0043,1,4.16,0,4.16
O000062,2,P0049,4,4.7,0,4.7
O000062,3,P0089,2,2.58,0,2.58
O000062,4,P0085,3,12.86,0,12.86
O000063,1,P0001,2,33.36,0.05,31.69
O000063,2,P0015,4,7.5,0,7.5
O000063,3,P0068,3,8.5,0,8.5
O000064,1,P0042,1,7.65,0,7.65
O000064,2,P0071,6,8.8,0,8.8
O000065,1,P0082,1,19.85,0,19.85
O000066,1,P0091,6,7.92,0,7.92
O000066,2,P0082,5,19.85,0,19.85
O000066,3,P0038,1,2.72,0.05,2.58
O000067,1,P0041,3,4.62,0,4.62
O000067,2,P0010,3,26.61,0,26.61
O000068,1,P0093,5,10.47,0,10.47
O000068,2,P0002,1,16.46,0,16.46
O000069,1,P0025,1,12.53,0,12.53
O000069,2,P0005,3,24.7,0,24.7
O000070,1,P0068,1,8.5,0,8.5
O000071,1,P0073,3,4.8,0,4.8
O000071,2,P0081,5,9.58,0,9.58
O000071,3,P0067,7,13.43,0,13.43
O000072,1,P0031,3,7.98,0,7.98
O000072,2,P0048,5,4.81,0,4.81
O000073,1,P0006,5,30.89,0,30.89
O000073,2,P0079,4,11.14,0,11.14
O000073,3,P0056,2,5.49,0,5.49
O000073,4,P0063,3,14.43,0,14.43
O000073,5,P0035,2,3.66,0,3.66
O000074,1,P0039,1,3.74,0,3.74
O000074,2,P0080,3,19.67,0,19.67
O000074,3,P0074,3,6.66,0,6.66
O000074,4,P0009,4,35.56,0,35.56
O000075,1,P0095,3,7.5,0,7.5
O000075,2,P0006,3,30.89,0,30.89
O000076,1,P0041,1,4.62,0,4.62
O000076,2,P0071,5,8.8,0,8.8
O000077,1,P0083,1,9.11,0.05,8.65
O000077,2,P0066,2,10.82,0.05,10.28
O000078,1,P0078,2,12.81,0,12.81
O000078,2,P0065,1,5.24,0,5.24
O000078,3,P0009,2,35.56,0,35.56
O000078,4,P0059,3,17.55,0,17.55
O000078,5,P0062,1,17.73,0,17.73
O000079,1,P0036,2,9.61,0,9.61
O000079,2,P0080,1,19.67,0,19.67
O000080,1,P0005,1,24.7,0,24.7
O000080,2,P0062,1,17.73,0,17.73
O000081,1,P0061,2,7.41,0.2,5.93
O000081,2,P0085,1,12.86,0.2,10.29
O000082,1,P0079,2,11.14,0,11.14
O000082,2,P0007,5,8.22,0,8.22
O000082,3,P0063,1,14.43,0,14.43
O000083,1,P0007,1,8.22,0,8.22
O000084,1,P0085,4,12.86,0,12.86
O000084,2,P0010,4,26.61,0,26.61
O000085,1,P0094,1,4.45,0,4.45
